MONTH,DAY_OF_WEEK,DEP_DEL15,DEP_TIME_BLK,DISTANCE_GROUP,SEGMENT_NUMBER,CONCURRENT_FLIGHTS,NUMBER_OF_SEATS,CARRIER_NAME,AIRPORT_FLIGHTS_MONTH,AIRLINE_FLIGHTS_MONTH,AIRLINE_AIRPORT_FLIGHTS_MONTH,AVG_MONTHLY_PASS_AIRPORT,AVG_MONTHLY_PASS_AIRLINE,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,DEPARTING_AIRPORT,LATITUDE,LONGITUDE,PREVIOUS_AIRPORT,PRCP,SNOW,SNWD,TMAX,AWND,CARRIER_HISTORICAL,DEP_AIRPORT_HIST,DAY_HISTORICAL,DEP_BLOCK_HIST
7,7,0,1500-1559,3,3,26,160,American Airlines Inc.,19534,79247,7972,2006675,11744595,9.82082928995461e-05,0.00017728721959309724,6,Douglas Municipal,35.219,-80.936,Chicago O'Hare International,0.0,0.0,0.0,95.0,4.25,0.2377091471954006,0.2732357375614027,0.22253848170480506,0.25547875927174646
4,1,0,1300-1359,4,4,63,50,SkyWest Airlines Inc.,18788,67082,3655,2743323,3472966,3.419267401443636e-05,9.900278805864171e-05,15,Stapleton International,39.774,-104.88,El Paso International,0.0,0.0,0.0,71.0,11.41,0.1546512650620071,0.12184873949579832,0.2379718670466495,0.19750294927251277
11,4,0,0001-0559,2,1,3,76,American Eagle Airlines Inc.,1148,25517,300,90547,1204766,0.00034840766560500434,0.00010686715174900371,3,Adams Field,34.729,-92.234,NONE,0.0,0.0,0.0,54.0,0.45,0.11755905511811024,0.18786731291566006,0.1398860693940963,0.06032663037440284
3,2,0,1500-1559,7,5,14,143,Southwest Airlines Co.,7612,114119,3282,1023434,13382999,6.178236301460919e-05,9.889412309998219e-05,19,San Diego International Lindbergh Fl,32.733,-117.187,San Jose International,0.0,0.0,0.0,64.0,8.05,0.2043892222493479,0.14144641301190822,0.13286823228849365,0.202036989687207
7,3,0,0800-0859,1,2,85,50,American Eagle Airlines Inc.,29376,28267,6058,3103410,1204766,0.00034840766560500434,0.00010686715174900371,15,Chicago O'Hare International,41.978,-87.906,Cincinnati/Northern Kentucky International,0.01,0.0,0.0,94.0,10.51,0.20326275598750435,0.19376083188908147,0.2030270924776752,0.11304974765681326
9,4,0,0800-0859,2,2,32,100,JetBlue Airways,11294,23638,844,955406,3190369,0.0001600389254787507,0.00012686617611396965,6,Ronald Reagan Washington National,38.852,-77.037,Logan International,0.01,0.0,0.0,89.0,3.8,0.17475791677571317,0.14415675297410777,0.16732145635599813,0.08425519018033036
11,3,0,0700-0759,8,1,18,150,American Airlines Inc.,6491,77179,979,874468,11744595,9.82082928995461e-05,0.00017728721959309724,22,Tampa International,27.973,-82.535,NONE,0.0,0.0,0.0,69.0,11.18,0.14230237360056072,0.18786731291566006,0.14749755226631342,0.07653538186400033
8,6,1,1900-1959,3,1,39,154,United Air Lines Inc.,23099,55706,6032,2743323,8501631,0.00025380424062159367,0.00022898547349326266,3,Stapleton International,39.774,-104.88,NONE,0.0,0.0,0.0,84.0,8.95,0.2214602874333307,0.18786731291566006,0.16186967124116694,0.32235817575083425
7,3,0,0800-0859,11,1,48,173,United Air Lines Inc.,19667,55374,2582,2780593,8501631,0.00025380424062159367,0.00022898547349326266,4,Los Angeles International,33.942,-118.408,NONE,0.0,0.0,0.0,72.0,8.05,0.2366009589770911,0.18786731291566006,0.2030270924776752,0.11304974765681326
7,2,1,2000-2059,1,6,3,99,American Airlines Inc.,4275,79247,593,385767,11744595,9.82082928995461e-05,0.00017728721959309724,12,Pittsburgh International,40.497,-80.236,Philadelphia International,0.68,0.0,0.0,89.0,8.95,0.2377091471954006,0.24362527716186252,0.20201193470140924,0.33619836198361985
